Iteration,Discriminator Loss,Generator Loss
8600,1.381315,0.712761
8610,1.366146,0.738101
8620,1.304956,0.509236
8630,1.352516,0.543515
8640,1.324061,0.664637
8650,1.383069,0.661865
8660,1.372696,0.691136
8670,1.376361,0.690364
8680,1.393809,0.689936
8690,1.345770,0.618652
8700,1.360744,0.647926
8710,1.380476,0.714034
8720,1.368540,0.661813
8730,1.333576,0.542496
8740,1.379038,0.713931
8750,1.291030,0.496916
8760,1.376431,0.670551
8770,1.331655,0.699553
8780,1.372851,0.693087
8790,1.376788,0.730703
8800,1.343160,0.706707
8810,1.375704,0.656727
8820,1.338370,0.644322
8830,1.381903,0.827273
8840,1.364411,0.685313
8850,1.377337,0.718514
8860,1.386209,0.671856
8870,1.376898,0.728761
8880,1.357100,0.661232
8890,1.351071,0.662339
8900,1.337339,0.669700
8910,1.271052,0.583651
8920,1.365525,0.698808
8930,1.372502,0.563338
8940,1.295018,0.564869
8950,1.327952,0.605264
8960,1.372610,0.710103
8970,1.367334,0.590429
8980,1.332031,0.668505
8990,1.341431,0.667693
9000,1.296030,0.523981
9010,1.363510,0.590777
9020,1.346489,0.715073
9030,1.354124,0.533800
9040,1.327264,0.637098
9050,1.339131,0.493558
9060,1.364288,0.665313
9070,1.354114,0.693430
9080,1.371031,0.686393
9090,1.379420,0.715984
9100,1.325198,0.576758
9110,1.330247,0.522347
9120,1.383336,0.693465
9130,1.380938,0.726510
9140,1.390896,0.607878
9150,1.346691,0.553012
9160,1.382239,0.685412
9170,1.358313,0.649738
9180,1.367000,0.826016
9190,1.363129,0.665455
9200,1.311219,0.878139
9210,1.365511,0.634761
9220,1.349455,0.586936
9230,1.368601,0.679826
9240,1.360365,0.681816
9250,1.343198,0.670683
9260,1.365448,0.708610
9270,1.356393,0.659890
9280,1.341573,0.598011
9290,1.372443,0.695584
9300,1.294697,0.492737
9310,1.378736,0.662185
9320,1.362789,0.688471
9330,1.364823,0.675208
9340,1.340732,0.531115
9350,1.378771,0.714908
9360,1.389457,0.702531
9370,1.374397,0.693416
9380,1.373561,0.689460
9390,1.359742,0.692820
9400,1.323905,0.578026
9410,1.381104,0.710773
9420,1.362551,0.556436
9430,1.383452,0.700377
9440,1.337565,0.570896
9450,1.396277,0.668301
9460,1.316805,0.663012
9470,1.343113,0.714814
9480,1.363014,0.713091
9490,1.369503,0.672975
9500,1.270065,0.770166
9510,1.303958,0.707938
9520,1.286112,0.505826
9530,1.355948,0.750858
9540,1.381153,0.668480
9550,1.369361,0.671442
9560,1.342674,0.783398
9570,1.396566,0.659999
9580,1.347801,0.651128
9590,1.351717,0.715334
9600,1.412634,0.492512
9610,1.391158,0.672401
9620,1.300398,0.663328
9630,1.381867,0.620832
9640,1.323413,0.704628
9650,1.378705,0.505884
9660,1.374547,0.682882
9670,1.357445,0.757209
9680,1.343879,0.794566
9690,1.381755,0.574685
9700,1.361937,0.617614
9710,1.377259,0.695654
9720,1.321877,0.610638
9730,1.378508,0.595951
9740,1.366449,0.669115
9750,1.359324,0.656232
9760,1.276538,0.501086
9770,1.369180,0.594334
9780,1.336509,0.664112
9790,1.359106,0.687452
9800,1.351359,0.642980
9810,1.371486,0.720147
9820,1.309888,0.686423
9830,1.356331,0.657635
9840,1.334468,0.572502
9850,1.335802,0.667729
9860,1.377101,0.701979
9870,1.359535,0.696294
9880,1.371851,0.674255
9890,1.282615,0.454287
9900,1.360646,0.683746
9910,1.372981,0.698252
9920,1.312409,0.604251
9930,1.391472,0.671583
9940,1.331228,0.593834
9950,1.346610,0.605941
9960,1.257529,0.661658
9970,1.311968,0.636240
9980,1.311682,0.640910
9990,1.342296,0.744536
10000,1.335145,0.631688
